id,Length,Height,Whole weight,Sex_I,Sex_M,DimensionsCluster,Rings
0,0.55,0.15,0.7715,0,0,0,11
1,0.63,0.145,1.13,0,0,0,11
2,0.16,0.025,0.021,1,0,1,6
3,0.595,0.15,0.9145,0,1,0,10
4,0.555,0.13,0.782,1,0,0,9
5,0.61,0.17,1.201,0,0,0,10
6,0.415,0.11,0.3315,0,1,1,9
7,0.61,0.15,1.1165,0,0,0,9
8,0.205,0.04,0.046,1,0,1,4
9,0.565,0.125,0.651,1,0,0,8
10,0.485,0.135,0.6335,0,1,0,8
11,0.605,0.185,1.218,0,1,2,11
12,0.595,0.145,0.9085,0,0,0,15
13,0.44,0.11,0.4495,1,0,1,7
14,0.555,0.145,0.7905,1,0,0,10
15,0.59,0.185,1.0195,0,0,0,11
16,0.335,0.09,0.1965,1,0,1,8
17,0.675,0.18,1.633,0,1,2,12
18,0.5,0.105,0.494,1,0,1,8
19,0.305,0.1,0.224,0,1,1,7
20,0.505,0.125,0.6095,1,0,0,8
21,0.55,0.14,0.8785,0,0,0,9
22,0.57,0.175,1.3695,0,1,2,10
23,0.495,0.135,0.6765,0,1,0,10
24,0.575,0.145,0.7955,0,0,0,9
25,0.58,0.15,0.8145,0,1,0,8
26,0.5,0.135,0.6075,1,0,0,8
27,0.645,0.175,1.489,0,1,2,20
28,0.18,0.04,0.0315,1,0,1,4
29,0.58,0.165,1.0425,0,1,0,20
30,0.355,0.08,0.204,1,0,1,7
31,0.495,0.125,0.5185,1,0,1,9
32,0.47,0.14,0.5785,0,1,1,12
33,0.395,0.09,0.2425,1,0,1,8
34,0.58,0.14,0.9165,1,0,0,10
35,0.59,0.16,0.964,0,0,0,9
36,0.18,0.04,0.0275,0,1,1,4
37,0.605,0.175,1.2415,0,0,2,17
38,0.515,0.125,0.5175,0,1,1,9
39,0.36,0.09,0.1855,1,0,1,6
40,0.29,0.075,0.1425,1,0,1,6
41,0.47,0.105,0.3675,1,0,1,7
42,0.385,0.085,0.252,1,0,1,7
43,0.525,0.135,0.7835,0,1,0,9
44,0.52,0.14,0.7275,0,1,0,10
45,0.29,0.075,0.116,1,0,1,6
46,0.55,0.155,0.7165,1,0,0,8
47,0.635,0.18,1.3725,0,1,2,13
48,0.515,0.145,0.7555,1,0,0,7
49,0.58,0.17,1.2435,0,0,2,14
50,0.47,0.12,0.5395,1,0,1,9
51,0.615,0.14,1.0595,0,0,0,9
52,0.455,0.12,0.4425,1,0,1,8
53,0.545,0.155,0.8445,0,1,0,13
54,0.49,0.125,0.6605,0,1,0,13
55,0.505,0.14,0.7665,0,1,0,9
56,0.48,0.105,0.515,0,0,1,10
57,0.435,0.11,0.4155,1,0,1,9
58,0.575,0.155,0.9335,0,1,0,10
59,0.33,0.095,0.1785,1,0,1,7
60,0.63,0.16,1.2435,0,0,2,10
61,0.615,0.13,1.0375,0,0,0,14
62,0.725,0.205,1.926,0,1,2,11
63,0.585,0.165,0.9705,0,0,0,9
64,0.295,0.08,0.121,1,0,1,5
65,0.41,0.09,0.34,1,0,1,6
66,0.535,0.14,0.764,0,1,0,9
67,0.55,0.15,1.0025,0,0,0,9
68,0.525,0.14,0.7365,1,0,0,9
69,0.695,0.235,1.8985,0,1,2,10
70,0.535,0.155,0.8705,0,0,0,12
71,0.485,0.12,0.547,1,0,1,8
72,0.475,0.115,0.501,1,0,1,8
73,0.68,0.175,1.5175,0,1,2,11
74,0.46,0.11,0.365,1,0,1,9
75,0.655,0.175,1.5265,0,1,2,11
76,0.555,0.13,0.874,0,0,0,9
77,0.335,0.075,0.18,1,0,1,5
78,0.58,0.175,1.017,0,0,0,13
79,0.585,0.16,1.054,0,0,0,23
80,0.58,0.135,0.8115,1,0,0,12
81,0.53,0.125,0.6445,1,0,0,9
82,0.48,0.125,0.5605,1,0,1,9
83,0.165,0.055,0.011,0,1,1,5
84,0.29,0.055,0.0655,1,0,1,5
85,0.45,0.11,0.393,1,0,1,7
86,0.495,0.115,0.5415,0,1,1,7
87,0.295,0.065,0.14,1,0,1,6
88,0.275,0.07,0.1385,1,0,1,5
89,0.575,0.16,1.1255,0,0,0,9
90,0.61,0.19,1.3315,0,1,2,12
91,0.47,0.125,0.4935,1,0,1,8
92,0.51,0.135,0.7045,0,1,0,7
93,0.17,0.035,0.021,1,0,1,4
94,0.645,0.175,1.58,0,1,2,12
95,0.505,0.135,0.959,0,0,0,14
96,0.42,0.1,0.366,1,0,1,8
97,0.625,0.15,1.1835,0,1,0,9
98,0.465,0.12,0.5225,0,0,1,8
99,0.605,0.19,1.1845,0,0,0,10
100,0.48,0.125,0.5805,1,0,1,8
101,0.35,0.085,0.1755,1,0,1,5
102,0.34,0.09,0.1725,1,0,1,6
103,0.58,0.155,0.8395,0,0,0,13
104,0.5,0.14,0.6605,0,0,0,9
105,0.49,0.13,0.5915,0,0,1,10
106,0.615,0.15,0.945,0,1,0,9
107,0.205,0.055,0.0235,1,0,1,3
108,0.415,0.1,0.2805,1,0,1,8
109,0.6,0.17,1.2915,0,0,2,9
110,0.375,0.095,0.2745,1,0,1,6
111,0.295,0.075,0.1275,1,0,1,3
112,0.565,0.145,0.9185,0,1,0,10
113,0.6,0.18,1.29,0,0,2,12
114,0.695,0.19,1.711,0,1,2,11
115,0.25,0.065,0.0735,1,0,1,5
116,0.29,0.07,0.106,1,0,1,6
117,0.58,0.13,0.8255,0,0,0,8
118,0.53,0.135,0.6335,1,0,0,9
119,0.535,0.16,0.9685,0,1,0,10
120,0.58,0.145,0.9765,0,0,0,10
121,0.6,0.175,1.2905,0,0,2,10
122,0.585,0.16,0.97,0,0,0,10
123,0.66,0.17,1.6115,0,0,2,9
124,0.54,0.14,0.8965,0,1,0,22
125,0.45,0.115,0.4305,0,0,1,8
126,0.435,0.11,0.3975,1,0,1,8
127,0.535,0.14,0.783,1,0,0,8
128,0.49,0.125,0.5805,0,1,1,9
129,0.485,0.11,0.5365,1,0,1,8
130,0.485,0.135,0.559,0,0,1,8
131,0.565,0.145,0.8915,0,0,0,10
132,0.55,0.175,0.9155,0,0,0,12
133,0.61,0.175,1.107,0,0,0,9
134,0.47,0.1,0.516,1,0,1,8
135,0.575,0.13,0.9555,0,1,0,13
136,0.585,0.165,1.099,0,1,0,10
137,0.615,0.165,1.0425,0,1,0,10
138,0.53,0.13,0.6395,1,0,0,8
139,0.52,0.15,0.6435,0,0,0,12
140,0.665,0.185,1.5275,0,1,2,10
141,0.55,0.125,0.832,0,1,0,9
142,0.575,0.155,0.938,0,0,0,10
143,0.575,0.165,0.9685,0,0,0,14
144,0.6,0.19,1.2715,0,1,2,13
145,0.46,0.12,0.4435,0,0,1,11
146,0.45,0.105,0.4665,1,0,1,7
147,0.57,0.155,1.01,0,0,0,9
148,0.55,0.115,0.745,0,0,0,13
149,0.54,0.145,0.764,0,1,0,9
150,0.675,0.185,1.9485,0,0,2,14
151,0.335,0.08,0.1475,1,0,1,5
152,0.58,0.14,0.8255,0,0,0,8
153,0.585,0.165,0.998,0,0,0,17
154,0.335,0.095,0.253,0,1,1,6
155,0.42,0.115,0.406,0,0,1,10
156,0.635,0.16,1.0295,0,1,0,10
157,0.53,0.135,0.741,0,0,0,8
158,0.56,0.135,0.9425,0,1,0,12
159,0.595,0.15,1.153,0,1,0,9
160,0.56,0.135,0.8115,0,1,0,9
161,0.47,0.11,0.4195,1,0,1,8
162,0.455,0.115,0.4665,1,0,1,9
163,0.585,0.16,1.053,0,0,0,9
164,0.31,0.075,0.1255,1,0,1,6
165,0.535,0.15,0.873,0,0,0,13
166,0.545,0.15,0.832,0,0,0,8
167,0.295,0.07,0.1075,1,0,1,5
168,0.5,0.125,0.5765,0,1,1,8
169,0.575,0.145,0.872,0,1,0,8
170,0.6,0.19,1.1035,0,1,0,14
171,0.6,0.14,0.9175,1,0,0,9
172,0.6,0.16,1.218,0,0,2,11
173,0.47,0.125,0.5015,0,1,1,8
174,0.575,0.14,0.906,0,1,0,14
175,0.565,0.145,0.908,0,1,0,13
176,0.59,0.145,1.09,0,1,0,11
177,0.605,0.17,1.0855,0,0,0,10
178,0.355,0.09,0.2365,1,0,1,6
179,0.45,0.085,0.3685,1,0,1,8
180,0.725,0.195,1.551,0,0,2,11
181,0.565,0.135,0.728,0,1,0,10
182,0.385,0.095,0.286,1,0,1,8
183,0.295,0.08,0.1295,1,0,1,5
184,0.45,0.11,0.4335,1,0,1,8
185,0.58,0.15,0.9955,0,0,0,10
186,0.565,0.15,0.9605,0,1,0,9
187,0.315,0.075,0.1405,1,0,1,6
188,0.48,0.11,0.462,1,0,1,8
189,0.605,0.19,1.129,0,0,0,13
190,0.38,0.09,0.247,1,0,1,8
191,0.56,0.16,0.8415,0,1,0,11
192,0.29,0.065,0.1275,1,0,1,6
193,0.585,0.155,0.9555,0,1,0,10
194,0.66,0.18,1.539,0,1,2,10
195,0.27,0.065,0.101,1,0,1,6
196,0.575,0.155,0.8295,0,1,0,11
197,0.46,0.11,0.4385,1,0,1,8
198,0.375,0.095,0.237,1,0,1,6
199,0.575,0.14,0.966,0,0,0,8
200,0.32,0.09,0.1915,1,0,1,6
201,0.68,0.185,1.741,0,1,2,11
202,0.28,0.075,0.1145,1,0,1,5
203,0.445,0.125,0.384,1,0,1,8
204,0.27,0.095,0.1095,1,0,1,7
205,0.545,0.13,0.957,0,0,0,9
206,0.425,0.105,0.4335,0,0,1,9
207,0.425,0.1,0.3555,1,0,1,7
208,0.465,0.14,0.4385,1,0,1,11
209,0.435,0.1,0.406,0,0,1,8
210,0.53,0.13,0.6915,0,0,0,13
211,0.695,0.2,1.7265,0,1,2,11
212,0.645,0.165,1.383,0,1,2,10
213,0.575,0.135,0.92,0,0,0,12
214,0.565,0.135,0.723,0,1,0,9
215,0.58,0.175,1.089,0,0,0,10
216,0.37,0.085,0.2485,0,1,1,8
217,0.575,0.145,1.0145,0,0,0,11
218,0.45,0.11,0.4545,0,0,1,8
219,0.385,0.09,0.237,1,0,1,7
220,0.565,0.165,0.955,0,1,0,11
221,0.565,0.155,0.906,0,0,0,12
222,0.555,0.145,0.936,0,1,0,11
223,0.63,0.19,1.403,0,0,2,14
224,0.55,0.14,0.873,0,1,0,14
225,0.485,0.12,0.5185,1,0,1,9
226,0.62,0.15,0.9065,0,1,0,9
227,0.6,0.16,1.0465,0,0,0,9
228,0.555,0.13,0.869,0,1,0,9
229,0.605,0.15,1.1345,0,1,0,13
230,0.53,0.155,0.7395,0,1,0,10
231,0.64,0.175,1.5105,0,1,2,11
232,0.38,0.095,0.2615,1,0,1,6
233,0.315,0.07,0.144,1,0,1,7
234,0.45,0.1,0.366,1,0,1,7
235,0.41,0.1,0.3245,1,0,1,7
236,0.58,0.145,0.953,0,1,0,9
237,0.575,0.14,0.867,0,0,0,8
238,0.44,0.11,0.4965,1,0,1,9
239,0.57,0.14,0.974,0,1,0,14
240,0.71,0.19,1.938,0,1,2,11
241,0.365,0.1,0.2155,1,0,1,7
242,0.495,0.135,0.6245,1,0,0,8
243,0.255,0.06,0.086,1,0,1,6
244,0.58,0.14,0.8515,1,0,0,10
245,0.58,0.155,1.0485,0,0,0,9
246,0.655,0.175,1.4435,0,0,2,12
247,0.535,0.13,0.7995,0,1,0,8
248,0.64,0.22,1.3165,0,0,2,11
249,0.515,0.13,0.6965,0,0,0,10
250,0.5,0.145,0.5635,0,0,1,8
251,0.565,0.165,0.9265,0,0,0,14
252,0.395,0.11,0.293,1,0,1,7
253,0.635,0.18,1.2895,0,0,2,17
254,0.48,0.115,0.456,1,0,1,8
255,0.505,0.135,0.549,1,0,1,9
256,0.485,0.125,0.5135,1,0,1,8
257,0.47,0.125,0.475,0,1,1,9
258,0.48,0.155,0.6335,0,1,0,12
259,0.595,0.16,1.0475,0,0,0,10
260,0.38,0.115,0.284,1,0,1,8
261,0.435,0.11,0.45,0,1,1,7
262,0.55,0.155,0.8645,1,0,0,9
263,0.47,0.125,0.507,0,1,1,9
